Professor Name,Professor Profile
M. Reza Alam,"Vice Chair, Equity & Inclusion
Professor of Mechanical Engineering
American Bureau of Shipping Chair in Ocean Engineering"
Francesco Borrelli,"Vice Chair, Master of Engineering
Professor of Mechanical Engineering
FANUC Chair in Mechanical Systems"
Van P. Carey,"A. Richard Newton Chair in Engineering
Distinguished Professor of Mechanical Engineering"
James Casey,Professor of Mechanical Engineering
Chris Dames,"Chair, Department of Mechanical Engineering
Professor of Mechanical Engineering
Howard Penn Brown Chair in Mechanical Engineering"
Michael Frenklach,"Distinguished Professor of Mechanical Engineering
Roscoe and Elizabeth Hughes Chair in Mechanical Engineering"
Michael Gollner,"Associate Professor of Mechanical Engineering
Deb Faculty Fellow"
Kosa Goucher-Lambert,Assistant Professor of Mechanical Engineering
Costas Grigoropoulos,"A. Martin Berlin Chair in Mechanical Engineering
Distinguished Professor of Mechanical Engineering"
Grace X. Gu,Assistant Professor of Mechanical Engineering
Roberto Horowitz,"Distinguished Professor of Mechanical Engineering
James Fife Endowed Chair"
Alexis Kaminski,"Assistant Professor of Mechanical Engineering
Ho-Shang and Mei-Li Lee Faculty Fellow"
Homayoon Kazerooni,Professor of Mechanical Engineering
Tony M. Keaveny,Distinguished Professor of Mechanical Engineering
Kyriakos Komvopoulos,Distinguished Professor of Mechanical Engineering
Liwei Lin,"Distinguished Professor of Mechanical Engineering
James Marshall Wells Academic Chair
Co-Director, Berkeley Sensor & Actuator Center"
Fai Ma,Professor of Applied Mechanics
Simo Mäkiharju,Assistant Professor of Mechanical Engineering
Philip S. Marcus,"Professor of Mechanical Engineering
Tien-Modak Chancellor’s Chair in Engineering"
Sara McMains,Professor of Mechanical Engineering
Negar Mehr,Assistant Professor of Mechanical Engineering
Mohammad R. K. Mofrad,Professor of Mechanical Engineering and Bioengineering
Mark W. Mueller,Associate Professor of Mechanical Engineering
Grace D. O’Connell,"Professor of Mechanical Engineering
Associate Dean for Inclusive Excellence, College of Engineering"
Oliver M. O’Reilly,"Distinguished Professor of Mechanical Engineering
Vice Provost for Undergraduate Education"
Panayiotis Papadopoulos,"Distinguished Professor of Mechanical Engineering
Byron and Elvira Nishkian Chair in Structural Engineering
Director of CoE Aerospace Engineering Programs"
Kameshwar Poolla,"Cadence Design Systems Distinguished Professor
Distinguished Professor of Mechanical Engineering"
Lisa Pruitt,"Distinguished Professor of Mechanical Engineering
Lawrence Talbot Chair in Engineering"
Ömer Savaş,Professor of Mechanical Engineering
Thomas Schutzius,Assistant Professor of Mechanical Engineering
Shawn Shadden,Professor of Mechanical Engineering
Lydia Sohn,"Chancellor's Professor
Professor of Mechanical Engineering
Almy C. Maynard and Agnes Offield Maynard Chair in Mechanical Engineering"
Koushil Sreenath,"Vice Chair of Graduate Studies
Associate Professor of Mechanical Engineering"
David Steigmann,Professor of Mechanical Engineering
Hannah Stuart,"Assistant Professor of Mechanical Engineering
Don M. Cunningham Endowed Professorship in Mechanical Engineering"
Hayden Taylor,"Vice Chair of Instruction
Associate Professor of Mechanical Engineering"
Masayoshi Tomizuka,"Cheryl and John Neerhout, Jr. Distinguished Professor
Distinguished Professor of Mechanical Engineering
Associate Dean, Faculty"
Lining Yao,Assistant Professor of Mechanical Engineering
Tarek I. Zohdi,"Associate Dean for Research, College of Engineering
Will C. Hall Endowed Chair
Chair of the UCB Computational & Data Science & Engineering Program
Professor of Mechanical Engineering"
Murat Arcak,"Professor of Mechanical Engineering
Professor of Electrical Engineering"
Peter Hosemann,"Professor of Mechanical Engineering
Professor of Nuclear Engineering
Chair, Department of Nuclear Engineering
E.S. Kuh Chair of Engineering"
Dorian Liepmann,Professor of Mechanical Engineering and BioEngineering
Robert O. Ritchie,"Distinguished Professor of Mechanical Engineering
Professor of Materials Science & Engineering"
S. Shankar Sastry,"Distinguished Professor of Mechanical Engineering
Professor of Electrical Engineering and Computer Sciences"
Somayeh Sojoudi,"Associate Professor-In-Residence of Mechanical Engineering
Associate Professor-In-Residence of EECS"
Alice M. Agogino,"Distinguished Professor of the Graduate School
Product Design Concentration Founder and Head Advisor, MEng Program
Roscoe and Elizabeth Hughes Chair in Mechanical Engineering (7/1/2008-12/31/20221)"
David M. Auslander,Professor of the Graduate School
David B. Bogy,"Professor of the Graduate School
Director, Computer Mechanics Laboratory"
Robert Dibble,Professor of the Graduate School
Carlos Fernandez-Pello,"Professor of the Graduate School
Almy C. Maynard and Agnes Offield Maynard Endowed Chair (7/1/2009-6/30/2020)"
Ralph Greif,Professor of the Graduate School
Boris Rubinsky,Professor of the Graduate School
