Professor Name,Professor Profile
Cyrus K. Aidun,Professor
Alexander Alexeev,"Professor, Joseph Anderer Faculty Fellow"
Antonia Antoniou,Professor
Costas D. Arvanitis,Associate Professor
Nazanin Bassiri-Gharb,"Harris Saunders, Jr. Chair and Professor"
Steven Biegalski,NRE/MP Program Chair
Bert Bras,Associate Chair for Administration
Hailong Chen,Associate Professor
Seung-Kyum Choi,Associate Professor
Jonathan S. Colton,"Eugene C. Gwaltney Jr. Professorship in Manufacturing, Professor"
Suman Das,"Morris M. Bryan, Jr. Chair and Professor"
Nico F. Declercq,Professor
F. Levent Degertekin,George W. Woodruff Chair in Mechanical Systems and Professor
Chaitanya S. Deo,"Southern Nuclear Termed Professorship in NREMP, Professor"
Jaydev Desai,Professor
Shaheen Dewji,Assistant Professor
J. Brandon Dixon,"Associate Chair for Undergraduate Studies, Woodruff Professor, Professor"
Anna Erickson,"Associate Chair for Research, Woodruff Professor"
Alper Erturk,Carl Ring Family Chair
Andrei G. Fedorov,Associate Chair for Graduate Studies
Aldo A. Ferri,Director of Assessment and Student Success and Professor
Craig R. Forest,Professor
Andrés J. García,Parker H. Petit Director's Chair in Bioengineering and Bioscience
Srinivas Garimella,Hightower Chair in Engineering
Caroline L. Genzale,Associate Professor
S. Mostafa Ghiaasiaan,Professor
Rudolph L. Gleason,Associate Professor
Ari Glezer,Chair in Thermal Systems
Samuel Graham,Professor
Itzhak Green,Professor
Frank L. Hammond III,Assistant Professor
Tequila A. L. Harris,Professor
Marta Hatzell,"Woodruff Professor, Associate Professor"
Peter J. Hesketh,Professor
Yuhang Hu,Associate Professor
David Hu,Professor
Karl I. Jacob,Professor
Laurence J. Jacobs,Professor
Suhas Jain,Assistant Professor
Sheldon M. Jeter,Retired Associate Professor
Roger Jiao,Associate Professor
Yogendra Joshi,Distinguished Chair
Kyriaki Kalaitzidou,Associate Chair for Faculty Development
Surya Kalidindi,"Regents' Professor, Rae S. and Frank H. Neely Chair"
YongTae (Tony) Kim,Associate Professor
Dan Kotlyar,Associate Professor
Shreyas Kousik,Assistant Professor
David N. Ku,Lawrence P. Huang Endowed Chair for Engineering Entrepreneurship and Regents' Professor
Satish Kumar,"Frank H. Neely Professor, Professor"
Thomas Kurfess,"Regents' Professor, HUSCO/Ramirez Distinguished Chair"
Michael J. Leamy,"Woodruff Professor, Director of Graduate Studies, and Professor"
Seung Woo Lee,Associate Professor
Kok-Meng Lee,Professor
Steven Y. Liang,"Morris M. Bryan, Jr. Professor"
Timothy C. Lieuwen,Professor
Julie Linsey,Professor
Peter Loutzenhiser,Associate Professor
J. Rhett Mayor,Associate Professor
Anirban Mazumdar,Assistant Professor
Ellen Yi Chen Mazumdar,Assistant Professor
Matthew McDowell,"Carter N. Paden, Jr. Distinguished Chair, Associate Professor"
Julien Meaud,Associate Professor
Shreyes N. Melkote,"Morris M. Bryan, Jr. Professor"
Akanksha Menon,Assistant Professor
Karthik Menon,Assistant Professor
Richard W. Neu,Director of Mechanical Properties Facility
Bojan Petrovic,Professor
Olivier Pierron,Professor
H. Jerry Qi,"Woodruff Professor, Professor"
Farzad Rahnema,Distinguished Professor
Devesh Ranjan,"Eugene C. Gwaltney, Jr. School Chair"
Karim Sabra,Professor
Nader Sadegh,Associate Professor
Sourabh Saha,Assistant Professor
Christopher J. Saldaña,"Ring Family Professor, Associate Professor"
Emily Sanders,Assistant Professor
Gregory Sawicki,"Joseph Anderer Faculty Fellow, Associate Professor"
Carolyn Seepersad,Woodruff Professor
Jianjun (Jan) Shi,Professor
Chengzhi Shi,Assistant Professor
Ankur Singh,"Carl Ring Family Professor, Professor"
William E. Singhose,Professor
Suresh K. Sitaraman,"Regents' Professor and Morris M. Bryan, Jr. Professor"
Vanessa Smet,Assistant Professor
Marc K. Smith,Professor
Stephen Sprigle,Professor
Aaron Stebner,"Eugene C. Gwaltney Jr. Chair in Manufacturing, Associate Professor"
Todd Sulchek,"Professor, Regents’ Innovator"
Wenting Sun,Assistant Professor
Naresh N. Thadhani,Professor
Susan Napier Thomas,"Professor, Woodruff Professor"
Lena H. Ting,Professor
Maegan Tucker,Assistant Professor
Jun Ueda,Professor
Yan Wang,Professor
C.-K. Chris Wang,Professor
Levi Wood,Associate Professor
Shuman Xia,Associate Professor
Arash Yavari,Professor
Shannon Yee,Associate Professor
W. Hong Yeo,"Harris Saunders, Jr. Professor, Associate Professor"
P. K. Yeung,Professor
Aaron Young,Associate Professor
Chuck Zhang,Harold E. Smalley Professor
Zhuomin Zhang,"J. Erskine Love, Jr. Professor"
Fan Zhang,Assistant Professor
Ye Zhao,Assistant Professor
Min Zhou,"Carter N. Paden, Jr. Distinguished Chair, George W. Woodruff Professorship, Professor"
Ting Zhu,"Carter N. Paden, Jr. Distinguished Chair, Professor"
Cheng Zhu,Professor
