Professor Name,Professor Profile,Faculty
"Abeyaratne, Rohan",Professor,Professor
"Ahmed, Faez",Assistant Professor,Assistant Professor
"Akylas, Triantaphyllos R",Professor,Professor
"Anand, Lallit",Professor,Professor
"Asada, Harry",Professor,Professor
"Azizan, Navid",Assistant Professor,Assistant Professor
"Barbastathis, George",Professor,Professor
"Bathe, Klaus-Jürgen",Professor,Professor
"Bathe, Mark",Professor,Professor
"Becker, Kaitlyn",Assistant Professor,Assistant Professor
"Bischofberger, Irmgard",Associate Professor,Associate Professor
Lydia Bourouiba,Associate Professor,Associate Professor
"Brisson II, John G",Professor,Professor
"Buehler, Markus",McAfee Professor of Engineering,Professor
"Buie, Cullen",Associate Professor,Associate Professor
"Buonassisi, Tonio",Professor,Professor
"Buongiorno, Jacopo",TEPCO Professor of Nuclear Science,Professor
"Chen, Gang",Professor,Professor
"Cheng, Wai K",Professor,Professor
"Chryssostomidis, Chryssostomos",Professor,Professor
"Chun, Jung-Hoon",Professor,Professor
"Cohen, Tal",Associate Professor,Associate Professor
"Culpepper, Martin",Professor,Professor
"Del Vecchio, Domitilla",Professor,Professor
"Deng, Sili",Assistant Professor,Assistant Professor
"Edelman, Elazer",Professor,Professor
"Frey, Daniel",Professor,Professor
"Gallant, Betar",Associate Professor,Associate Professor
"Ghoniem, Ahmed F",Professor,Professor
"Gibson, Lorna J.",Professor,Professor
"Glicksman, Leon R.",Professor,Professor
"Gopinath, Ashwin",Assistant Professor,Assistant Professor
"Graves, Stephen C",Professor,Professor
"Griffith, Linda G",Professor,Professor
"Grodzinsky, Alan J",Professor,Professor
"Guo, Ming",Associate Professor,Associate Professor
"Gutowski, Timothy G",Professor,Professor
"Hadjiconstantinou, Nicolas",Professor,Professor
"Hardt, David E",Professor,Professor
"Hart, A. John",Professor,Professor
"Hart, Douglas",Professor,Professor
"Henry, Asegun",Professor,Professor
"Hogan, Neville",Professor,Professor
"Hosoi, Anette (Peko)",Professor,Professor
"Hunter, Ian",Professor,Professor
"Jacobson, Joseph",Associate Professor,Associate Professor
"Kamm, Roger Dale",Professor,Professor
"Kamrin, Kenneth N",Professor,Professor
"Karnik, Rohit N",Professor,Professor
"Kim, Jeehwan",Associate Professor,Associate Professor
"Kim, Sang-Gook",Professor,Professor
"Kim, Sangbae",Professor,Professor
"Kolle, Mathias",Associate Professor,Associate Professor
"Langer, Robert S",Institute Professor,Professor
"Leeb, Steven B",Professor,Professor
"Leonard, John J",Professor,Professor
"Lermusiaux, Pierre",Professor,Professor
"Lienhard V, John H","Director, J-WAFS / Professor",Professor
"Lloyd, Seth",Professor,Professor
"Makris, Nicholas",Professor,Professor
"Manalis, Scott R",Professor,Professor
"Matusik, Wojciech",Professor,Professor
"McKinley, Gareth H",Professor,Professor
"Mueller, Stefanie",Associate Professor,Associate Professor
"Parks, David Moore",Professor,Professor
"Patera, Anthony T",Professor,Professor
"Patrikalakis, Nicholas M",Professor,Professor
"Peacock, Thomas",Professor,Professor
"Portela, Carlos",Assistant Professor,Assistant Professor
"Raman, Ritu",Assistant Professor,Assistant Professor
"Roche, Ellen",Associate Professor,Associate Professor
"Rodriguez Garcia, Alberto",Associate Professor,Associate Professor
"Sachs, Emanuel Michael",Professor,Professor
"Sapsis, Themistoklis",Professor,Professor
"Sarma, Sanjay E",Professor,Professor
"Schmidt, Henrik",Professor,Professor
"Sclavounos, Paul D",Professor,Professor
"Seering, Warren Paul",Professor,Professor
"Shao-Horn, Yang",Professor,Professor
"Slocum, Alexander H",Professor,Professor
"Slotine, Jean-Jacques E",Professor,Professor
"So, Peter T. C.",Professor,Professor
"Sudhir, Vivishek",Assistant Professor,Assistant Professor
"Tadesse, Loza",Assistant Professor,Assistant Professor
"Techet, Alexandra H",Professor,Professor
"Tedrake, Russ",Professor,Professor
"Traverso, Giovanni",Associate Professor,Associate Professor
"Triantafyllou, Michael S",Professor,Professor
"Trumper, David L",Professor,Professor
"van Rees, Wim",Assistant Professor,Assistant Professor
"Vandiver, J Kim",Dean for Undergraduate Research/Professor,Professor
"Varanasi, Kripa",Professor,Professor
"Wallace, David",Professor,Professor
"Wang, Evelyn",Professor,Professor
"Wang, Sherrie",Assistant Professor,Assistant Professor
"Wardle, Brian",Professor,Professor
"Williams Jr, James H",Professor,Professor
"Winter, Amos G.",Associate Professor,Associate Professor
"Yang, Maria",Associate Dean of Engineering,Professor
"Yannas, Ioannis V",Professor,Professor
"Youcef-Toumi, Kamal",Professor,Professor
"Yue, Dick K. P.",Professor,Professor
"Zhao, Xuanhe",Professor,Professor
