Professor Name,Professor Profile,Faculty
Babak Anasori,Reilly Rising Star Associate Professor of Materials and Mechanical Engineering,Associate Professor
Arezoo Ardekani,Professor of Mechanical Engineering,Professor
Andres Arrieta,Associate Professor of Mechanical Engineering,Associate Professor
Anil K. Bajaj,Alpha P. Jamison Professor of Mechanical Engineering,Professor
Shubhra Bansal,Associate Professor of Mechanical Engineering and Materials Engineering,Associate Professor
Eduardo Barocio Vaca,Assistant Professor of Mechanical Engineering,Assistant Professor
Riley Barta,Assistant Professor of Mechanical Engineering,Assistant Professor
Thomas Beechem,Associate Professor Of Mechanical Engineering,Associate Professor
Edward Berger,"Associate Professor of Engineering Education, Associate Professor of Mechanical Engineering",Associate Professor
Ilias Bilionis,Associate Professor of Mechanical Engineering,Associate Professor
Laura Blumenschein,Assistant Professor of Mechanical Engineering,Assistant Professor
J. Stuart Bolton,Professor of Mechanical Engineering,Professor
James E. Braun,"Herrick Professor of Engineering, and Director of the Center for High Performance Buildings",Professor
Richard Buckius,Professor of Mechanical Engineering,Professor
Adrian Buganza Tepole,Associate Professor of Mechanical Engineering,Associate Professor
Jie Cai,Associate Professor of Mechanical Engineering,Associate Professor
Mukerrem Cakmak,Reilly Professor of Materials Engineering and Mechanical Engineering,Professor
David Cappelleri,Professor of Mechanical Engineering; Assistant Vice President for Research Innovation,Professor
Luciano Castillo,Kenninger Professor of Renewable Energy and Power Systems,Professor
Jun Chen,"Assistant Head for Facilities and Operations, and Professor of Mechanical Engineering",Professor
George T. C. Chiu,"Assistant Dean for Global Engineering Programs, Professor of Mechanical Engineering",Professor
Jong Hyun Choi,Professor of Mechanical Engineering,Professor
Alex Chortos,Assistant Professor of Mechanical Engineering,Assistant Professor
Ivan C. Christov,Associate Professor of Mechanical Engineering,Associate Professor
Rebecca Ciez,"Assistant Professor of Mechanical Engineering, and Environmental and Ecological Engineering",Assistant Professor
Sadegh Dabiri,"Associate Professor of Agricultural and Biological Engineering, and Mechanical Engineering",Associate Professor
Patricia Davies,Professor of Mechanical Engineering,Professor
Xinyan Deng,Associate Professor of Mechanical Engineering,Associate Professor
Xiaoping Du,Professor of Mechanical Engineering (Indianapolis),Professor
Shirley J Dyke,Professor of Mechanical Engineering and Civil Engineering,Professor
James Gibert,Associate Professor of Mechanical Engineering,Associate Professor
Christopher S. Goldenstein,Associate Professor of Mechanical Engineering,Associate Professor
Hector Gomez,Professor of Mechanical Engineering,Professor
Marcial Gonzalez,Associate Professor of Mechanical Engineering,Associate Professor
Jay P. Gore,Reilly Professor in Combustion Engineering (courtesy appointments in Aeronautics & Astronautics and Chemical Engineering),Professor
Eckhard A. Groll,"William E. and Florence E. Perry Head of Mechanical Engineering, and Reilly Professor of Mechanical Engineering",Professor
Yan Gu,Associate Professor Of Mechanical Engineering,Associate Professor
Daniel Guildenbecher,Associate Professor of Mechanical Engineering,Associate Professor
E. Daniel Hirleman,"Professor of Mechanical Engineering, Executive Director for International Advancement",Professor
Neera Jain,Associate Professor of Mechanical Engineering,Associate Professor
James D. Jones,Associate Professor of Mechanical Engineering and Assistant Head for ME Programs at Purdue Indianapolis,Associate Professor
Martin Byung-Guk Jun,Professor of Mechanical Engineering,Professor
Nicole Key,"Associate Head for Graduate Studies, Professor of Mechanical Engineering, and Professor of Aeronautics & Astronautics (by Courtesy)",Professor
Kevin Kircher,Assistant Professor of Mechanical Engineering,Assistant Professor
Klod Kokini,Professor of Mechanical Engineering,Professor
Marisol Koslowski,"Assistant Head for Engagement and Partnerships, and Professor of Mechanical Engineering",Professor
