Professor Name,Professor Profile,Faculty
Adam Meyer Boies,Associate Professor of Mechanical Engineering,Associate Professor
Wei Cai,"Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering",Professor
Mark A. Cappelli,Professor of Mechanical Engineering,Professor
Ovijit Chaudhuri,"Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering",Associate Professor
Steven Hartley Collins,"Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering",Associate Professor
Mark Cutkosky,Fletcher Jones Professor in the School of Engineering,Professor
Eric Darve,Professor of Mechanical Engineering,Professor
"Scott L. Delp, Ph.D.","Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery",Professor
Matthew R. Edwards,Assistant Professor of Mechanical Engineering,Assistant Professor
Vivian Feig,Assistant Professor of Mechanical Engineering,Assistant Professor
Sean Follmer,"Associate Professor of Mechanical Engineering and, by courtesy, of Computer Science",Associate Professor
Kenneth Goodson,"Senior Associate Dean for Faculty and Academic Affairs, Davies Family Provostial Professor, and Professor, by courtesy, of Materials Science and Engineering",Professor
Wendy Gu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering",Assistant Professor
Ronald Hanson,Clarence J. and Patricia R. Woodard Professor of Mechanical Engineering,Professor
Gianluca Iaccarino,Professor of Mechanical Engineering,Professor
Matthias Ihme,"Professor of Mechanical Engineering, of Photon Science and, by courtesy, of Energy Science and Engineering",Professor
David Kelley,Donald W. Whittier Professor of Mechanical Engineering,Professor
Monroe Kennedy III,"Assistant Professor of Mechanical Engineering and, by courtesy, of Computer Science",Assistant Professor
Thomas Kenny,Senior Associate Dean for Education and Student Affairs and Richard W. Weiland Professor in the School of Engineering,Professor
Ellen Kuhl,"Walter B Reinhold Professor in the School of Engineering, Robert Bosch Chair of Mechanical Engineering, Professor of Mechanical Engineering and, by courtesy, of Bioengineering",Professor
Natalie Larson,Assistant Professor of Mechanical Engineering,Assistant Professor
Sanjiva Lele,Edward C. Wells Professor of the School of Engineering and Professor of Mechanical Engineering,Professor
Marc Levenston,"Associate Professor of Mechanical Engineering and, by courtesy, of Radiology (Radiological Sciences Laboratory)",Associate Professor
Adrian Lew,Professor of Mechanical Engineering,Professor
Dr. Arun Majumdar,"Dean, Stanford Doerr School of Sustainability, Jay Precourt Professor, Professor of Mech Eng, of Energy Sci & Eng, of Photon Science, Senior Fellow at Woods and by courtesy, of Materials Sci & Eng and Senior Fellow, by courtesy, at Hoover",Professor
Ali Mani,Associate Professor of Mechanical Engineering,Associate Professor
Michaëlle Ntala Mayalu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Bioengineering",Assistant Professor
Beverley J McKeon,Professor of Mechanical Engineering,Professor
Parviz Moin,Franklin P. and Caroline M. Johnson Professor in the School of Engineering,Professor
Allison Okamura,Richard W. Weiland Professor in the School of Engineering,Professor
Friedrich Prinz,"Leonardo Professor, Professor of Mechanical Engineering, of Materials Science and Engineering and Senior Fellow at the Precourt Institute for Energy",Professor
Juan G. Santiago,Charles Lee Powell Foundation Professor,Professor
Eric S.G. Shaqfeh,Lester Levi Carter Professor and Professor of Mechanical Engineering,Professor
Sindy Tang,"Associate Professor of Mechanical Engineering, Senior Fellow at the Woods Institute for the Environment and Professor, by courtesy, of Radiology and of Bioengineering",Associate Professor
Hai Wang,Professor of Mechanical Engineering,Professor
Renee Zhao,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering",Assistant Professor
Xiaolin Zheng,"Professor of Mechanical Engineering, of Energy Science Engineering and, by courtesy, of Materials Science and Engineering",Professor
