Professor Name,Professor Profile
Adam Meyer Boies,Associate Professor of Mechanical Engineering
Wei Cai,"Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering"
Mark A. Cappelli,Professor of Mechanical Engineering
Ovijit Chaudhuri,"Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering"
Steven Hartley Collins,"Associate Professor of Mechanical Engineering and, by courtesy, of Bioengineering"
Mark Cutkosky,Fletcher Jones Professor in the School of Engineering
Eric Darve,Professor of Mechanical Engineering
"Scott L. Delp, Ph.D.","Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery"
Matthew R. Edwards,Assistant Professor of Mechanical Engineering
Vivian Feig,Assistant Professor of Mechanical Engineering
Sean Follmer,"Associate Professor of Mechanical Engineering and, by courtesy, of Computer Science"
Kenneth Goodson,"Senior Associate Dean for Faculty and Academic Affairs, Davies Family Provostial Professor, and Professor, by courtesy, of Materials Science and Engineering"
Wendy Gu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering"
Ronald Hanson,Clarence J. and Patricia R. Woodard Professor of Mechanical Engineering
Gianluca Iaccarino,Professor of Mechanical Engineering
Matthias Ihme,"Professor of Mechanical Engineering, of Photon Science and, by courtesy, of Energy Science and Engineering"
David Kelley,Donald W. Whittier Professor of Mechanical Engineering
Monroe Kennedy III,"Assistant Professor of Mechanical Engineering and, by courtesy, of Computer Science"
Thomas Kenny,Senior Associate Dean for Education and Student Affairs and Richard W. Weiland Professor in the School of Engineering
Ellen Kuhl,"Walter B Reinhold Professor in the School of Engineering, Robert Bosch Chair of Mechanical Engineering, Professor of Mechanical Engineering and, by courtesy, of Bioengineering"
Natalie Larson,Assistant Professor of Mechanical Engineering
Sanjiva Lele,Edward C. Wells Professor of the School of Engineering and Professor of Mechanical Engineering
Marc Levenston,"Associate Professor of Mechanical Engineering and, by courtesy, of Radiology (Radiological Sciences Laboratory)"
Adrian Lew,Professor of Mechanical Engineering
Dr. Arun Majumdar,"Dean, Stanford Doerr School of Sustainability, Jay Precourt Professor, Professor of Mech Eng, of Energy Sci & Eng, of Photon Science, Senior Fellow at Woods and by courtesy, of Materials Sci & Eng and Senior Fellow, by courtesy, at Hoover"
Ali Mani,Associate Professor of Mechanical Engineering
Michaëlle Ntala Mayalu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Bioengineering"
Beverley J McKeon,Professor of Mechanical Engineering
Parviz Moin,Franklin P. and Caroline M. Johnson Professor in the School of Engineering
Allison Okamura,Richard W. Weiland Professor in the School of Engineering
Friedrich Prinz,"Leonardo Professor, Professor of Mechanical Engineering, of Materials Science and Engineering and Senior Fellow at the Precourt Institute for Energy"
Juan G. Santiago,Charles Lee Powell Foundation Professor
Eric S.G. Shaqfeh,Lester Levi Carter Professor and Professor of Mechanical Engineering
Sindy Tang,"Associate Professor of Mechanical Engineering, Senior Fellow at the Woods Institute for the Environment and Professor, by courtesy, of Radiology and of Bioengineering"
Hai Wang,Professor of Mechanical Engineering
Renee Zhao,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering"
Xiaolin Zheng,"Professor of Mechanical Engineering, of Energy Science Engineering and, by courtesy, of Materials Science and Engineering"
