Professor Name,Professor Profile
Nikhil Chandra  Admal,Assistant Professor
Ronald J. Adrian,Professor Emeritus
Andrew G. Alleyne,Ralph & Catherine Fisher Professor
Marianne  Alleyne,Assistant Professor
Nikolaos  Aravas,Adjunct Professor
Blaine  Asay,
Gaurav  Bahl,George B. Grim Professor
Arijit  Banerjee,ASST PROF
Dean  Bartles,Adjunct Research Professor
Tamer Basar,Professor
Rashid  Bashir,Professor
"Armand Beaudoin, Jr",Research Professor; Professor Emeritus
Carolyn L. Beck,Associate Professor
Joseph  Bentsman,Professor
"Richard B. Berlin, Jr",Adjunct Research Associate Professor
James L. Best,PROF
Rohit  Bhargava,Professor
Daniel J. Bodony,Associate Professor
Paul V. Braun,Professor
M. Quinn Brewster,"Hermia G. Soo Professor; Director, M.Eng.ME Program"
Ronald Edward Brown,Adjunct Professor
Clark W. Bullard,Research Professor; Professor Emeritus
David Cahill,Professor
Lili  Cai,Assistant Professor
Kemal Celebi,Adjunct Assistant Professor
Leonardo Chamorro,Associate Professor
Marie Agathe Charpagne,
Ioannis  Chasiotis,Professor
Arthur M. Clausing,Professor Emeritus
Mickey Clemon,Teaching Assistant Professor
C. Ricardo Constante Amores,"Assistant Professor, starting August 2024"
Jiahuan  Cui,
Cristino  Cusano,Professor Emeritus
Jonathan A. Dantzig,Professor Emeritus
"Robert Harvey Dodds, Jr",Professor Emeritus
Geir Dullerud,W. Grafton and Lillian B. Wilkins Professor; Willett Faculty Scholar
Alison C. Dunn,
Craig Dutton,Professor
Gregory S. Elliott,Professor
Elif  Ertekin,Associate Professor; Andersen Faculty Scholar
Randy H. Ewoldt,Alexander Rankin Professor
Nazanin  Farjam,"Assistant Professor, starting August 2024"
Jie  Feng,Assistant Professor
Placid Ferreira,Tungchao Julia Lu Professor
Paul  Fischer,Professor
Mattia  Gazzola,Associate Professor; Charles Conrad Kritzer Faculty Scholar
Philippe Geubelle,Professor
Nick G. Glumac,Shao Lee Soo Professor; Cannon Faculty Scholar
Molly Hathaway Goldstein,Teaching Assistant Professor
Tom Golecki,Teaching Assistant Professor
Andres Goza,
Robert B. Haber,Research Professor; Professor Emeritus
Varda Hagh,Assistant Professor
Naser Mahmoud Hamdan,Adjunct Professor
Bumsoo Han,Professor
