Professor Name,Professor Profile
Nikhil Chandra  Admal,Assistant Professor
Andrew G. Alleyne,Ralph & Catherine Fisher Professor
Marianne  Alleyne,Assistant Professor
Blaine  Asay,
Gaurav  Bahl,George B. Grim Professor
Arijit  Banerjee,ASST PROF
Tamer Basar,Professor
Rashid  Bashir,Professor
Carolyn L. Beck,Associate Professor
Joseph  Bentsman,Professor
James L. Best,PROF
Rohit  Bhargava,Professor
Daniel J. Bodony,Associate Professor
Paul V. Braun,Professor
M. Quinn Brewster,"Hermia G. Soo Professor; Director, M.Eng.ME Program"
David Cahill,Professor
Lili  Cai,Assistant Professor
Leonardo Chamorro,Associate Professor
Marie Agathe Charpagne,
Ioannis  Chasiotis,Professor
C. Ricardo Constante Amores,"Assistant Professor, starting August 2024"
Jiahuan  Cui,
Geir Dullerud,W. Grafton and Lillian B. Wilkins Professor; Willett Faculty Scholar
Alison C. Dunn,
Craig Dutton,Professor
Gregory S. Elliott,Professor
Elif  Ertekin,Associate Professor; Andersen Faculty Scholar
Randy H. Ewoldt,Alexander Rankin Professor
Nazanin  Farjam,"Assistant Professor, starting August 2024"
Jie  Feng,Assistant Professor
Placid Ferreira,Tungchao Julia Lu Professor
Paul  Fischer,Professor
Mattia  Gazzola,Associate Professor; Charles Conrad Kritzer Faculty Scholar
Philippe Geubelle,Professor
Nick G. Glumac,Shao Lee Soo Professor; Cannon Faculty Scholar
Andres Goza,
Varda Hagh,Assistant Professor
Bumsoo Han,Professor
