Professor Name,Professor Profile,Faculty
Nikhil Chandra  Admal,Assistant Professor,Assistant Professor
Andrew G. Alleyne,Ralph & Catherine Fisher Professor,Professor
Marianne  Alleyne,Assistant Professor,Assistant Professor
Blaine  Asay,,Professor
Gaurav  Bahl,George B. Grim Professor,Professor
Arijit  Banerjee,ASST PROF,Assistant Professor
Tamer Basar,Professor,Professor
Rashid  Bashir,Professor,Professor
Carolyn L. Beck,Associate Professor,Associate Professor
Joseph  Bentsman,Professor,Professor
James L. Best,PROF,Professor
Rohit  Bhargava,Professor,Professor
Daniel J. Bodony,Associate Professor,Associate Professor
Paul V. Braun,Professor,Professor
M. Quinn Brewster,"Hermia G. Soo Professor; Director, M.Eng.ME Program",Professor
David Cahill,Professor,Professor
Lili  Cai,Assistant Professor,Assistant Professor
Leonardo Chamorro,Associate Professor,Associate Professor
Marie Agathe Charpagne,,Professor
Ioannis  Chasiotis,Professor,Professor
C. Ricardo Constante Amores,"Assistant Professor, starting August 2024",Assistant Professor
Jiahuan  Cui,,Professor
Geir Dullerud,W. Grafton and Lillian B. Wilkins Professor; Willett Faculty Scholar,Professor
Alison C. Dunn,,Professor
Craig Dutton,Professor,Professor
Gregory S. Elliott,Professor,Professor
Elif  Ertekin,Associate Professor; Andersen Faculty Scholar,Associate Professor
Randy H. Ewoldt,Alexander Rankin Professor,Professor
Nazanin  Farjam,"Assistant Professor, starting August 2024",Assistant Professor
Jie  Feng,Assistant Professor,Assistant Professor
Placid Ferreira,Tungchao Julia Lu Professor,Professor
Paul  Fischer,Professor,Professor
Mattia  Gazzola,Associate Professor; Charles Conrad Kritzer Faculty Scholar,Associate Professor
Philippe Geubelle,Professor,Professor
Nick G. Glumac,Shao Lee Soo Professor; Cannon Faculty Scholar,Professor
Andres Goza,,Professor
Varda Hagh,Assistant Professor,Assistant Professor
Bumsoo Han,Professor,Professor
