Professor Name,Professor Profile
"Abeyaratne, Rohan",Professor
"Ahmed, Faez",Assistant Professor
"Akylas, Triantaphyllos R",Professor
"Anand, Lallit",Professor
"Annaswamy, Anuradha M",Senior Research Scientist
"Anthony, Brian",Principal Research Scientist
"Asada, Harry",Professor
"Azizan, Navid",Assistant Professor
"Baggeroer, Arthur B",Professor Emeritus
"Barbastathis, George",Professor
"Bathe, Klaus-Jürgen",Professor
"Bathe, Mark",Professor
"Becker, Kaitlyn",Assistant Professor
"Benjamin, Michael Richard",Principal Research Scientist
"Bischofberger, Irmgard",Associate Professor
"Boriskina, Svetlana V",Principal Research Scientist
Lydia Bourouiba,Associate Professor
"Boyce, Mary Cunningham",Professor Emerita
"Brisson II, John G",Professor
"Buehler, Markus",McAfee Professor of Engineering
"Buie, Cullen",Associate Professor
"Buonassisi, Tonio",Professor
"Buongiorno, Jacopo",TEPCO Professor of Nuclear Science
"Chen, Gang",Professor
"Cheng, Wai K",Professor
"Chryssostomidis, Chryssostomos",Professor Emeritus
"Chun, Jung-Hoon",Professor
"Cohen, Tal",Associate Professor
"Culpepper, Martin",Professor
"Del Vecchio, Domitilla",Professor
"Deng, Sili",Assistant Professor
"Dewey, C. Forbes",Professor Emeritus
"Dubowsky, Steven",Professor Emeritus
"Edelman, Elazer",Professor
"Frey, Daniel",Professor
"Gallant, Betar",Associate Professor
"Gershwin, Stanley B",Sr. Lecturer
"Ghoniem, Ahmed F",Professor
"Gibson, Lorna J.",Professor
"Gillespy, Andrew",Professor of the Practice
"Glicksman, Leon R.",Professor
"Gopinath, Ashwin",Assistant Professor
"Gossard, David C",Professor Emeritus
"Graves, Stephen C",Professor
"Griffith, Linda G",Professor
"Grodzinsky, Alan J",Professor
"Guo, Ming",Associate Professor
"Gutowski, Timothy G",Professor
"Hadjiconstantinou, Nicolas",Professor
"Hardt, David E",Professor
"Hart, A. John",Professor
"Hart, Douglas",Professor
"Henry, Asegun",Professor
"Heywood, John B",Professor Emeritus
"Hogan, Neville",Professor
"Hosoi, Anette (Peko)",Professor
"Hunter, Ian",Professor
"Jacobson, Joseph",Associate Professor
"Jones, Lynette A",Senior Research Scientist
"Kamm, Roger Dale",Professor
"Kamrin, Kenneth N",Professor
"Karnik, Rohit N",Professor
"Kim, Jeehwan",Associate Professor
"Kim, Sang-Gook",Professor
"Kim, Sangbae",Professor
"Kolle, Mathias",Associate Professor
"Krebs, Hermano Igo",Principal Research Scientist
"Langer, Robert S",Institute Professor
"Leeb, Steven B",Professor
"Leonard, John J",Professor
"Lermusiaux, Pierre",Professor
"Lienhard V, John H","Director, J-WAFS / Professor"
"Liu, Yuming",Senior Research Scientist
"Lloyd, Seth",Professor
"MacLean, Christopher",Associate Professor of the Practice
"Makris, Nicholas",Professor
"Manalis, Scott R",Professor
"Marcus, Henry",Professor Emeritus
"Matusik, Wojciech",Professor
"McKinley, Gareth H",Professor
"Mei, Chiang",Professor Emeritus
"Mikic, Borivoje",Professor Emeritus
"Mueller, Stefanie",Associate Professor
"Newman, John Nicholas",Professor Emeritus
"Parks, David Moore",Professor
"Patera, Anthony T",Professor
"Patrikalakis, Nicholas M",Professor
"Peacock, Thomas",Professor
"Portela, Carlos",Assistant Professor
"Raman, Ritu",Assistant Professor
"Roche, Ellen",Associate Professor
"Rodriguez Garcia, Alberto",Associate Professor
"Rowell, Derek",Professor Emeritus
"Sachs, Emanuel Michael",Professor
"Sapsis, Themistoklis",Professor
"Sarma, Sanjay E",Professor
"Schmidt, Henrik",Professor
"Sclavounos, Paul D",Professor
"Seering, Warren Paul",Professor
"Shao-Horn, Yang",Professor
"Sheridan, Thomas",Professor Emeritus
"Slocum, Alexander H",Professor
"Slotine, Jean-Jacques E",Professor
"So, Peter T. C.",Professor
"Srinivasan, Mandayam A",Senior Research Scientist
"Sudhir, Vivishek",Assistant Professor
"Suh, Nam Pyo",Ralph E & Eloise F Cross Professor Emeritus
"Tadesse, Loza",Assistant Professor
"Techet, Alexandra H",Professor
"Tedrake, Russ",Professor
"Tian, Tian",Senior Research Engineer
"Todreas, Neil",Professor Emeritus
"Traverso, Giovanni",Associate Professor
"Triantafyllou, Michael S",Professor
"Trumper, David L",Professor
"van Rees, Wim",Assistant Professor
"Vandiver, J Kim",Dean for Undergraduate Research/Professor
"Varanasi, Kripa",Professor
"Wallace, David",Professor
"Wang, Evelyn",Professor
"Wang, Sherrie",Assistant Professor
"Wardle, Brian",Professor
"Wierzbicki, Tomasz",Professor Emeritus
"Wiesman, Richard M",Professor of the Practice
"Williams Jr, James H",Professor
"Winter, Amos G.",Associate Professor
"Yang, Maria",Deputy Dean of Engineering
"Yannas, Ioannis V",Professor
"Youcef-Toumi, Kamal",Professor
"Yue, Dick K. P.",Professor
"Zhao, Xuanhe",Professor
