Professor Name,Professor Profile
Solomon Adera,"Assistant Professor, Mechanical Engineering"
Alauddin Ahmed,"Assistant Research Scientist, Mechanical Engineering"
Rayhaneh Akhavan,"Associate Professor, Mechanical Engineering"
Mitra Aliabouzar,"Assistant Research Scientist, Mechanical Engineering
Research Assistant Professor, Radiology"
John Allison,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering
William F. Hosford Professor of Materials Science and Engineering"
Ellen Arruda,"Tim Manganello/BorgWarner Department Chair, Mechanical Engineering
Professor, Mechanical Engineering
Professor, Biomedical Engineering
Professor, Program in Macromolecular Science and Engineering
Maria Comninou Collegiate Professor of Mechanical Engineering"
James Ashton-Miller,"Research Professor, Mechanical Engineering
Albert Schultz Collegiate Research Professor & Distinguished Research Scientist
Associate Vice President - Research Policy and Compliance, OVPR
Director, Biomechanics Research Laboratory"
Jesse Austin-Breneman,"Assistant Professor, Mechanical Engineering"
Shorya Awtar,"Professor, Mechanical Engineering"
Rohini Bala Chandran,"Assistant Professor, Mechanical Engineering"
Mihaela Banu,"Professor, Mechanical Engineering
OVPR Collegiate Research Professor
ISD Faculty Director"
James Barber,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Jon R. & Beverly S. Holt Professor, College of Engineering"
Kira Barton,"Professor, Mechanical Engineering
Professor, Robotics
Miller Faculty Scholar"
Michael Bernitsas,"Professor, Mechanical Engineering
Mortimer E Cooley Collegiate Professor, Naval Architecture & Marine Engineering"
Andre Boehman,"Professor, Mechanical Engineering
Vennema Professor of Engineering
Director, W.E. Lay Automotive Laboratory"
Claus Borgnakke,"Associate Professor Emeritus, Mechanical Engineering"
Diann Brei,"Professor, Mechanical Engineering"
Daniel Bruder,"Assistant Professor, Mechanical Engineering"
Ashley Bucsek,"Assistant Professor, Mechanical Engineering"
Jesse Capecelatro,"Associate Professor, Mechanical Engineering
Associate Professor, Aerospace Engineering"
Steve Ceccio,"Professor, Mechanical Engineering
Professor, Naval Architecture & Marine Engineering
Vincent T and Gloria M Gorguze Professor of Engineering
Dean of Engineering"
Erin Cech,"Associate Professor, Mechanical Engineering
Associate Professor, Sociology"
Michael Chen,"Professor Emeritus, Mechanical Engineering"
John Clark,"Professor Emeritus, Mechanical Engineering"
David Cole,"Associate Professor Emeritus, Mechanical Engineering"
Rhima Coleman,"Associate Professor, Mechanical Engineering
Associate Professor, Biomedical Engineering"
Maria Comninou,"Professor Emerita, Theoretical and Applied Mechanics
Professor Emerita, Mechanical Engineering"
Daniel Cooper,"Assistant Professor, Mechanical Engineering"
Shanna Daly,"Associate Professor, Mechanical Engineering
Miller Faculty Scholar
Arthur F. Thurnau Professor, Mechanical Engineering"
Sambit Das,"Assistant Research Scientist, Mechanical Engineering"
Neil Dasgupta,"Associate Professor, Mechanical Engineering
Associate Professor, Materials Science and Engineering
Miller Faculty Scholar"
Joseph Datsko,"Professor Emeritus, Mechanical Engineering"
Cheri Deng,"Professor, Mechanical Engineering
Professor, Biomedical Engineering"
Pingsha Dong,"Professor, Mechanical Engineering
Professor, Naval Architecture and Marine Engineering
Director, Welded Structures Laboratory"
David Dowling,"Professor, Mechanical Engineering"
Karthik Duraisamy,"Professor, Mechanical Engineering
Professor, Aerospace Engineering
Associate Director of Michigan Institute for Computational Discovery and Engineering (MICDE)"
Paolo Elvati,"Associate Research Scientist, Mechanical Engineering"
Bogdan Epureanu,"Professor, Mechanical Engineering
Roger L. McCarthy Professor of Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Director, Automotive Research Center"
Tulga Ersal,"Associate Professor, Mechanical Engineering"
Jon Estrada,"Assistant Professor, Mechanical Engineering"
Yue Fan,"Associate Professor, Mechanical Engineering"
Nima Fazeli,"Assistant Professor, Mechanical Engineering
Assistant Professor, Robotics"
Evgueni Filipov,"Associate Professor, Mechanical Engineering
Associate Professor, Civil and Environmental Engineering"
Theodor Freiheit,"Research Associate Professor, Mechanical Engineering"
Jianping Fu,"Professor, Mechanical Engineering
Professor, Biomedical Engineering
Professor, Cell and Developmental Biology"
Miguel Funes Lora,"Research Investigator, Mechanical Engineering"
Vikram Gavini,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Yogesh Gianchandani,"Professor, Mechanical Engineering
Professor, Electrical Engineering and Computer Science"
Brent Gillespie,"Professor, Mechanical Engineering
Professor, Robotics"
Steven Goldstein,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Biomedical Engineering
Henry Ruppenthal Family Professor Emeritus, Orthopaedic Surgery and Bioengineering"
Jerard Gordon,"Assistant Professor, Mechanical Engineering"
Nakhiah Goulbourne,"Associate Professor, Mechanical Engineering
Associate Professor, Aerospace Engineering"
Eleni Gourgou,"Associate Research Scientist, Mechanical Engineering"
William Graebel,"Professor Emeritus, Mechanical Engineering"
Robert Gregg,"Associate Professor, Mechanical Engineering
Associate Professor, Robotics
Associate Professor, Electrical and Computer Engineering
Associate Director for Graduate Education, Michigan Robotics
Director, Locomotor Control Systems Laboratory"
Karl Grosh,"Professor, Mechanical Engineering
ME Diversity, Equity & Inclusion (DEI) Lead
Professor, Biomedical Engineering Department"
Jay Guo,"Professor, Mechanical Engineering
Professor, Electrical Engineering and Computer Science
Professor, Macromolecular Science and Engineering
Professor, Applied Physics"
Robert Hess,"Professor Emeritus, Mechanical Engineering"
John Hoard,"Associate Research Scientist Emeritus, Mechanical Engineering"
"James Holly, Jr.","Assistant Professor, Mechanical Engineering"
Jingwen Hu,"Research Professor, Mechanical Engineering
Research Professor, UMTRI"
S. Jack Hu,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Industrial and Operations Engineering
J. Reid and Polly Anderson Professor Emeritus of Manufacturing"
Xun (Ryan) Huan,"Assistant Professor, Mechanical Engineering"
Greg Hulbert,"Professor Emeritus, Mechanical Engineering"
Uduak Inyang-Udoh,"Assistant Professor, Mechanical Engineering"
Eric Johnsen,"Professor, Mechanical Engineering
Associate Chair for Undergraduate Education, Mechanical Engineering"
Elijah Kannatey-Asibu Jr.,"Professor Emeritus, Mechanical Engineering"
Bikash Kanungo,"Assistant Research Scientist, Mechanical Engineering"
Massoud Kaviany,"Professor, Mechanical Engineering
Professor, Applied Physics"
Noboru Kikuchi,"Professor Emeritus, Mechanical Engineering
Roger L. McCarthy Professor Emeritus of Mechanical Engineering"
Brian Kish,"LEO Lecturer III, Mechanical Engineering"
Jeffrey Koller,"LEO Lecturer III, Mechanical Engineering"
Yoram Koren,"Professor Emeritus, Mechanical Engineering
James J. Duderstadt Distinguished University Professor Emeritus of Manufacturing, Mechanical Engineering
Paul G. Goebel Professor Emeritus of Engineering, Mechanical Engineering"
Sridhar Kota,"Professor Emeritus, Mechanical Engineering
Herrick Professor Emeritus of Engineering"
Julia Kramer,"Assistant Professor, Mechanical Engineering"
Grant Kruger,"Associate Research Scientist, Mechanical Engineering"
Katsuo Kurabayashi,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Electrical Engineering and Computer Science"
David Kwabi,"Assistant Professor, Mechanical Engineering"
Edward Lady,"Professor Emeritus, Mechanical Engineering"
Ronald Larson,"Professor, Mechanical Engineering
Professor, Chemical Engineering
Professor, Macromolecular Science & Engineering
George Granger Brown Professor of Chemical Engineering
A H White Distinguished University Professor of Chemical Engineering"
Xiaogan Liang,"Associate Professor, Mechanical Engineering"
Allen Liu,"Associate Professor, Mechanical Engineering
Associate Professor, Biomedical Engineering"
Henry Liu,"Professor, Mechanical Engineering
Professor, Civil & Environmental Engineering"
Wei Lu,"Professor, Mechanical Engineering
ME Associate Chair for Facilities and Planning"
Jon Luntz,"Lecturer III, Mechanical Engineering
Associate Research Scientist, Mechanical Engineering"
Zheng-Dong Ma,"Research Scientist Emeritus, Mechanical Engineering"
Krishnan Mahesh,"Professor, Mechanical Engineering
Richard B. Couch Professor of Naval Architecture and Marine Engineering"
Edgar Meyhofer,"Professor, Mechanical Engineering
Professor, Biomedical Engineering"
Tian Mi,"LEO Lecturer III, Mechanical Engineering"
Robert Middleton,"Associate Research Scientist, Mechanical Engineering"
Amit Misra,"Professor, Mechanical Engineering
Professor, Materials Science & Engineering
Department Chair, Materials Science & Engineering"
Talia Moore,"Assistant Professor, Mechanical Engineering"
Sungmin Nam,"Assistant Professor, Mechanical Engineering"
Jun Ni,"Professor Emeritus, Mechanical Engineering
Shien-Ming (Sam) Wu Collegiate Professor Emeritus of Manufacturing Science"
Lauro Ojeda,"Associate Research Scientist, Mechanical Engineering"
Chinedum Okwudire,"Professor, Mechanical Engineering
Professor, Integrative Systems and Design
Miller Faculty Scholar"
Kenn Oldham,"Professor, Mechanical Engineering"
Gabor Orosz,"Associate Professor, Mechanical Engineering"
Jwo Pan,"Professor Emeritus, Mechanical Engineering"
Panos Papalambros,"Professor Emeritus, Mechanical Engineering
James B. Angell Distinguished University Professor Emeritus
Donald C. Graham Professor Emeritus of Engineering
Professor Emeritus, Integrative Systems and Design
Professor Emeritus, Art and Design
Professor Emeritus, Architecture"
Young Geun Park,"Associate Research Scientist, Mechanical Engineering"
Donald Patterson,"Professor Emeritus, Mechanical Engineering"
Noel Perkins,"Professor Emeritus, Mechanical Engineering
Arthur F. Thurnau Professor Emeritus, Mechanical Engineering
Donald T. Greenwood Collegiate Professor Emeritus of Mechanical Engineering"
Marc Perlin,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Naval Architecture & Marine Engineering
Professor Emeritus, Civil and Environmental Engineering"
Kevin Pipe,"Professor, Mechanical Engineering
Professor, Applied Physics Program
Professor, Electrical Engineering and Computer Science Department
Associate Dean for Undergraduate Education, College of Engineering"
Bogdan Popa,"Associate Professor, Mechanical Engineering"
Venkat Raman,"Professor, Mechanical Engineering
Professor, Aerospace Engineering"
Pramod Sangi Reddy,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Elliott Rouse,"Associate Professor, Mechanical Engineering"
Kazu Saitou,"Professor, Mechanical Engineering
Associate Chair for Graduate Education, Mechanical Engineering"
Anchal Sareen,"Assistant Professor, Mechanical Engineering
Assistant Professor, Naval Architecture & Marine Engineering"
Ulrich Scheven,"Associate Research Scientist, Mechanical Engineering"
Bill Schultz,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Naval Architecture and Marine Engineering"
Randy Schwemmin,"LEO Intermittent Lecturer, Mechanical Engineering"
Chenhui Shao,"Associate Professor, Mechanical Engineering"
Chengzhi Shi,"Associate Professor, Mechanical Engineering"
Albert Shih,"Professor, Mechanical Engineering
Professor, Biomedical Engineering
Faculty Member, Institute of Gerontology"
Alex Shorter,"Associate Professor, Mechanical Engineering"
Volker Sick,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
DTE Energy Professor of Advanced Energy Research
Director, Global CO2 Initiative"
Jason Siegel,"Associate Research Scientist, Mechanical Engineering"
Kathleen Sienko,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering"
