Professor Name,Professor Profile,Faculty
Aaron Ames,Bren Professor of Mechanical and Civil Engineering and Control and Dynamical Systems,Professor
José E. Andrade,George W. Housner Professor of Civil and Mechanical Engineering,Professor
Domniki Asimaki,Professor of Mechanical and Civil Engineering,Professor
Jean-Philippe Avouac,"Earle C. Anthony Professor of Geology and Mechanical and Civil Engineering; Associate Director, Center for Autonomous Systems and Technologies",Professor
Kaushik Bhattacharya,"Howell N. Tyson, Sr., Professor of Mechanics and Materials Science; Vice Provost",Professor
Guillaume Blanquart,Professor of Mechanical Engineering,Professor
John F. Brady,Chevron Professor of Chemical Engineering and Mechanical Engineering,Professor
Tim Colonius,"Frank and Ora Lee Marble Professor of Mechanical Engineering and Medical Engineering; Cecil and Sally Drinkward Leadership Chair, Department of Mechanical and Civil Engineering; Executive Officer for Mechanical and Civil Engineering",Professor
John O. Dabiri,Centennial Professor of Aeronautics and Mechanical Engineering,Professor
Chiara Daraio,"G. Bradford Jones Professor of Mechanical Engineering and Applied Physics; Investigator, Heritage Medical Research Institute",Professor
Xiaojing (Ruby) Fu,Assistant Professor of Mechanical and Civil Engineering; William H. Hurt Scholar,Assistant Professor
Julia R. Greer,"Ruben F. and Donna Mettler Professor of Materials Science, Mechanics and Medical Engineering; Fletcher Jones Foundation Director of the Kavli Nanoscience Institute",Professor
Melany L. Hunt,Dotty and Dick Hayman Professor of Mechanical Engineering,Professor
Monica Kohler,Research Professor of Mechanical and Civil Engineering,Professor
Nadia Lapusta,"Lawrence A. Hanson, Jr., Professor of Mechanical Engineering and Geophysics",Professor
Austin Minnich,Professor of Mechanical Engineering and Applied Physics; EAS Division Deputy Chair,Professor
Richard M. Murray,Thomas E. and Doris Everhart Professor of Control and Dynamical Systems and Bioengineering,Professor
Guruswami (Ravi) Ravichandran,"John E. Goode, Jr., Professor of Aerospace and Mechanical Engineering",Professor
Ares J. Rosakis,Theodore von Karman Professor of Aeronautics and Mechanical Engineering,Professor
Joseph E. Shepherd,"C. L. ""Kelly"" Johnson Professor of Aeronautics and Mechanical Engineering",Professor
Sandra M. Troian,"Professor of Applied Physics, Aeronautics, and Mechanical Engineering",Professor
