Professor Name,Professor Profile
Solomon Adera,"Assistant Professor, Mechanical Engineering"
Rayhaneh Akhavan,"Associate Professor, Mechanical Engineering"
John Allison,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering
William F. Hosford Professor of Materials Science and Engineering"
Ellen Arruda,"Tim Manganello/BorgWarner Department Chair, Mechanical Engineering
Professor, Mechanical Engineering
Professor, Biomedical Engineering
Professor, Program in Macromolecular Science and Engineering
Maria Comninou Collegiate Professor of Mechanical Engineering"
Shorya Awtar,"Professor, Mechanical Engineering"
Rohini Bala Chandran,"Assistant Professor, Mechanical Engineering"
Mihaela Banu,"Professor, Mechanical Engineering
OVPR Collegiate Research Professor
ISD Faculty Director"
James Barber,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Jon R. & Beverly S. Holt Professor, College of Engineering"
Kira Barton,"Professor, Mechanical Engineering
Professor, Robotics
Miller Faculty Scholar"
Michael Bernitsas,"Professor, Mechanical Engineering
Mortimer E Cooley Collegiate Professor, Naval Architecture & Marine Engineering"
Andre Boehman,"Professor, Mechanical Engineering
Vennema Professor of Engineering
Director, W.E. Lay Automotive Laboratory"
Diann Brei,"Professor, Mechanical Engineering"
Daniel Bruder,"Assistant Professor, Mechanical Engineering"
Ashley Bucsek,"Assistant Professor, Mechanical Engineering"
Jesse Capecelatro,"Associate Professor, Mechanical Engineering
Associate Professor, Aerospace Engineering"
Steve Ceccio,"Professor, Mechanical Engineering
Professor, Naval Architecture & Marine Engineering
Vincent T and Gloria M Gorguze Professor of Engineering"
Erin Cech,"Associate Professor, Mechanical Engineering
Associate Professor, Sociology"
Rhima Coleman,"Associate Professor, Mechanical Engineering
Associate Professor, Biomedical Engineering"
Daniel Cooper,"Associate Professor, Mechanical Engineering
Associate Professor, Integrative Systems and Design"
Shanna Daly,"Associate Professor, Mechanical Engineering
Miller Faculty Scholar
Arthur F. Thurnau Professor, Mechanical Engineering"
Neil Dasgupta,"Associate Professor, Mechanical Engineering
Associate Professor, Materials Science and Engineering
Miller Faculty Scholar"
Cheri Deng,"Professor, Mechanical Engineering
Professor, Biomedical Engineering"
Pingsha Dong,"Professor, Mechanical Engineering
Professor, Naval Architecture and Marine Engineering
Director, Welded Structures Laboratory"
David Dowling,"Professor, Mechanical Engineering"
Karthik Duraisamy,"Professor, Mechanical Engineering
Professor, Aerospace Engineering
Associate Director of Michigan Institute for Computational Discovery and Engineering (MICDE)"
Bogdan Epureanu,"Professor, Mechanical Engineering
Roger L. McCarthy Professor of Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Director, Automotive Research Center"
Martin Erinin,"Assistant Professor (Joining January 2025), Mechanical Engineering"
Tulga Ersal,"Associate Professor, Mechanical Engineering"
Jon Estrada,"Assistant Professor, Mechanical Engineering"
Yue Fan,"Associate Professor, Mechanical Engineering"
Nima Fazeli,"Professor, Mechanical Engineering
Professor, Robotics"
