Professor Name,Professor Profile
Babak Anasori,Reilly Rising Star Associate Professor of Materials and Mechanical Engineering
Arezoo Ardekani,"Associate Head for Faculty Affairs, and Professor of Mechanical Engineering"
Andres Arrieta,Associate Professor of Mechanical Engineering
Anil K. Bajaj,Alpha P. Jamison Professor of Mechanical Engineering
Shubhra Bansal,Associate Professor of Mechanical Engineering and Materials Engineering
Eduardo Barocio Vaca,Assistant Professor of Mechanical Engineering
Riley Barta,Assistant Professor of Mechanical Engineering
Thomas Beechem,Associate Professor Of Mechanical Engineering
Edward Berger,"Associate Professor of Engineering Education, Associate Professor of Mechanical Engineering"
Ilias Bilionis,Professor of Mechanical Engineering
Laura Blumenschein,Assistant Professor of Mechanical Engineering
J. Stuart Bolton,Professor of Mechanical Engineering
James E. Braun,"Herrick Professor of Engineering, and Director of the Center for High Performance Buildings"
Richard Buckius,Professor of Mechanical Engineering
Adrian Buganza Tepole,Associate Professor of Mechanical Engineering
Jie Cai,Associate Professor of Mechanical Engineering
Mukerrem Cakmak,Reilly Professor of Materials Engineering and Mechanical Engineering
David Cappelleri,Professor of Mechanical Engineering; Assistant Vice President for Research Innovation
Luciano Castillo,Kenninger Professor of Renewable Energy and Power Systems
Jun Chen,"Associate Head for Facilities and Operations, and Professor of Mechanical Engineering"
George T. C. Chiu,"Assistant Dean for Global Engineering Programs, Professor of Mechanical Engineering"
Jong Hyun Choi,Professor of Mechanical Engineering
Alex Chortos,Assistant Professor of Mechanical Engineering
Ivan C. Christov,Associate Professor of Mechanical Engineering
Rebecca Ciez,"Assistant Professor of Mechanical Engineering, and Environmental and Ecological Engineering"
Sadegh Dabiri,"Associate Professor of Agricultural and Biological Engineering, and Mechanical Engineering"
Patricia Davies,Professor of Mechanical Engineering
Xinyan Deng,Associate Professor of Mechanical Engineering
Xiaoping Du,Professor of Mechanical Engineering (Indianapolis)
Shirley J Dyke,Donald A. and Patricia A. Coates Professor of Innovation in Mechanical Engineering
James Gibert,Associate Professor of Mechanical Engineering
Christopher S. Goldenstein,Associate Professor of Mechanical Engineering
Hector Gomez,Professor of Mechanical Engineering
Marcial Gonzalez,Associate Professor of Mechanical Engineering
Jay P. Gore,Reilly Professor in Combustion Engineering (courtesy appointments in Aeronautics & Astronautics and Chemical Engineering)
Eckhard A. Groll,"William E. and Florence E. Perry Head of Mechanical Engineering, and Reilly Professor of Mechanical Engineering"
Yan Gu,Associate Professor Of Mechanical Engineering
Daniel Guildenbecher,Associate Professor of Mechanical Engineering
E. Daniel Hirleman,"Professor of Mechanical Engineering, Executive Director for International Advancement"
Neera Jain,Associate Professor of Mechanical Engineering
James D. Jones,Associate Professor of Mechanical Engineering and Assistant Head for ME Programs at Purdue Indianapolis
Martin Byung-Guk Jun,Professor of Mechanical Engineering
Nicole Key,"Associate Head for Graduate Studies, Professor of Mechanical Engineering, and Professor of Aeronautics & Astronautics (by Courtesy)"
Kevin Kircher,Assistant Professor of Mechanical Engineering
Klod Kokini,Professor of Mechanical Engineering
Marisol Koslowski,"Associate Dean for Global Engineering Programs and Partnerships, and Professor of Mechanical Engineering"
Charles M. Krousgrill,Tebbe Family 150th Anniversary Professor of Mechanical Engineering
Carlos Larriba-Andaluz,Associate Professor of Mechanical Engineering (Indianapolis)
Chi Hwan Lee,Professor of Biomedical Engineering and Mechanical Engineering
Junfei Li,Assistant Professor of Mechanical Engineering
Tian Li,Assistant Professor Of Mechanical Engineering
Heather Liddell,Assistant Professor of Mechanical Engineering and Environmental & Ecological Engineering
Guang Lin,"Professor of Mathematics, and Mechanical Engineering"
Yangfan Liu,Assistant Professor of Mechanical Engineering
Robert P. Lucht,"Ralph & Bettye Bailey Distinguished Professor of Mechanical Engineering, and Director of Maurice J. Zucrow Laboratories"
Nina Mahmoudian,Associate Professor of Mechanical Engineering
Ajay Malshe,"R. Eugene and Susie E. Goodson Distinguished Professor of Mechanical Engineering, and Agricultural and Biological Engineering (by courtesy)"
Amy Marconnet,Professor of Mechanical Engineering
Monique McClain,Assistant Professor of Mechanical Engineering
Peter H. Meckl,Professor of Mechanical Engineering
Terrence R. Meyer,Professor of Mechanical Engineering; Professor of Aeronautics and Astronautics (by Courtesy)
Aaron Morris,Associate Professor of Mechanical Engineering
