Professor Name,Professor Profile
Said I. Abdel-Khalik,Professor Emeritus
Christopher J. Adams,Research Engineer II
D'Nasia Adams,Academic Program Coordinator
Greeshma Agasthya,Assistant Professor
Denn Agustin,Instrument Maker II
Cyrus K. Aidun,Professor
Christopher Aldridge,"System Support Engineer, Senior"
Alexander Alexeev,"Professor, Joseph Anderer Faculty Fellow"
Lauren Allen,Academic Advising Manager
Janet K. Allen,Professor Emeritus
Ashley Andrews,Mechanical Engr III
Armin Ansari,Adjunct Associate Professor
Stephen D. Antolovich,Adjunct Professor Emeritus
Antonia Antoniou,Professor
Lenna Applebee,Academic Advising Manager
Chloe Arrington,Communications Officer II
Costas D. Arvanitis,Associate Professor
Laila Baker,Financial Admin I
Graham Barber,Research Technician III
Bruce Barkley,Facilities Manager Sr.
Samuel C. Barnett,Professor Emeritus
Carlos Barrow,Machine Shop Supervisor II
Nazanin Bassiri-Gharb,"Harris Saunders, Jr. Chair and Professor"
Steven Biegalski,NRE/MP Program Chair
Kristen Binz,Research Technician III
William Z. Black,Professor Emeritus
Jacob  Blevins,Lab and Facilities Coordinator
Wayne J. Book,Professor Emeritus
Bert Bras,Associate Chair for Administration
Daphne Brown,Faculty Support Coordinator
Zachary Brunson,Research Engineer I
George P. Burdell,Helluva Engineer
Craig Burns,Student Support Coordinator I
Hailong Chen,Associate Professor
Ye-Hwa Chen,Professor Emeritus
Tony G. Chen,Assistant Professor
Shinae Cho,HR Consultant
Seung-Kyum Choi,Associate Professor
Joseph D. Clement,Professor Emeritus
Jonathan S. Colton,"Eugene C. Gwaltney Jr. Professorship in Manufacturing, Professor"
Gene T. Colwell,Professor Emeritus
Nichelle Compton,Events Coordinator II
Richard S. Cowan,Engineering Manager
Tom Crittenden,Senior Research Engineer
Kenneth A. Cunefare,Professor Emeritus
Steven Danyluk,Professor Emeritus
Suman Das,"Morris M. Bryan, Jr. Chair and Professor"
Monte V. Davis,Professor Emeritus
Justin Dean,Instrument Maker III
Nico F. Declercq,Professor
F. Levent Degertekin,George W. Woodruff Chair in Mechanical Systems and Professor
Chaitanya S. Deo,"Southern Nuclear Termed Professorship in NREMP, Professor"
Jaydev Desai,Professor
Prateen V. Desai,Professor Emeritus
Michael DeSalvo,Research Engineer II
Nisha Detchprohm,Research Engineer I
Shaheen Dewji,Assistant Professor
Stephen L. Dickerson,Professor Emeritus
Rémi Dingreville,Adjunct Assistant Professor.
J. Brandon Dixon,"Associate Chair for Undergraduate Studies, Woodruff Professor, Professor"
Andrea Dominguez,Program Support Coordinator
Denis Dorozhkin,Lecturer
Katherine Drake,Academic Advisor I
Ameya Atul Dravid,Research Engineer I
Daniel Duff,Support Professional II
Bachir El Fil,Assistant Professor
Eric Scott Elder,Adjunct Associate Professor
Scott Elliott,Machine Shop Manager
Anna Erickson,"Associate Chair for Research, Woodruff Professor"
Alper Erturk,Carl Ring Family Chair
C. Ross Ethier,Adjunct Professor
Jonathan Farnum,Research Engineer I
Andrei G. Fedorov,Associate Chair for Graduate Studies
Jill N. Fennell,Frank K. Webb Academic Professional Chair in Communication Skills
Fatema Ferdous,Financial Administrator III
Aldo A. Ferri,Director of Assessment and Student Success and Professor
Craig R. Forest,Professor
Melody Foster,Unit Administrative Officer
Marlena Frank,IT Support Professional Senior
Kyle French,"Senior Engineer, Electronics Lab"
Katherine Fu,Adjunct Associate Professor
Michael Fuller,Communications Officer I
Stephen Fuller,Director IT
Jonathan Gaines,Associate Chair for Inclusive Excellence
Andrés J. García,Parker H. Petit Director's Chair in Bioengineering and Bioscience
Srinivas Garimella,Hightower Chair in Engineering
Caroline L. Genzale,Associate Professor
Mary George,Academic Assistant II
Ali Ghavami,Research Engineer I - NE
S. Mostafa Ghiaasiaan,Professor
Diamond Giles,Administrative Professional III
Rudolph L. Gleason,Associate Professor
Ari Glezer,Chair in Thermal Systems
James L. Gole,Professor Emeritus
Martin Graffigna Palomba,Research Engineer I
Michelle Graham,Faculty Support Coordinator
Michelle Graham,Faculty Support Coordinator
Itzhak Green,Professor
Peter Griffiths,"Director of Student Engagement and Success, Academic Professional"
François Guillot,Senior Research Engineer
Frank L. Hammond III,Assistant Professor
Sheela Hanasoge,Adjunct Assistant Professor
Corey  Harmon,Facilities Assistant
Tequila A. L. Harris,Professor
Taryn Harvey,Research Engineer I
Hashem M. Hashemian,Adjunct Professor
Tayllor Hastings,IT Support Professional II
Marta Hatzell,"Woodruff Professor, Associate Professor"
Khara Hayden,IT Support Professional Manager
Jaimie Hayes,Senior Director of Development
Shana Hefferon,Program & Operations Manager
Michael E.  Helms,Senior Research Scientist
Camellia Henry,Academic Advisor II
Asegun Henry,Adjunct Associate Professor
Kinsey Herrin,Senior Research Scientist
Nolan E. Hertel,Professor Emeritus
Peter J. Hesketh,Professor
Angela Hicks,Director of Business Operations
Jessica Hilaire,Mail Clerk I
Abigail L. Holberton,Research Technician I
David Hu,Professor
Yuhang Hu,Associate Professor
Andrew Hummel,Lecturer
Dietmar Hutmacher,Adjunct Professor
Yunhyeok Im,Senior Research Engineer
Karl I. Jacob,Professor
Laurence J. Jacobs,Professor
Suhas Jain,Assistant Professor
Amit S. Jariwala,Director of Design & Innovation
Ardalan Javadi,Research Engineer I
Kadijah Jenkins,Financial Admin II
Sheldon M. Jeter,Retired Associate Professor
Roger Jiao,Associate Professor
Georgina G. Jimenez,Academic Advisor II
Glenda Johnson,Academic Advising Manager
W. Steven Johnson,Professor Emeritus
Tiffany Johnson,Faculty Support Coordinator
Shannon M. Johnson,Research Technician III
Teresa Jonsson,Grants Administrator Lead
Yogendra Joshi,Distinguished Chair
Bernd Kahn,Professor Emeritus
Eden Kahssai,Associate Director of Development
Kyriaki Kalaitzidou,Associate Chair for Faculty Development
Surya Kalidindi,"Regents' Professor, Rae S. and Frank H. Neely Chair"
Andrew Keller,"Electrical Engineer III, Electronics Lab"
Ubade Kemerli,Research Engineer II-LT
Sedighe Keynia,Lecturer
YongTae (Tony) Kim,Associate Professor
Dan Kotlyar,Associate Professor
Peter A. Kottke,Senior Research Engineer
Shreyas Kousik,Assistant Professor
David N. Ku,Lawrence P. Huang Endowed Chair for Engineering Entrepreneurship and Regents' Professor
Satish Kumar,"Frank H. Neely Professor, Professor"
Thomas Kurfess,"Regents' Professor, HUSCO/Ramirez Distinguished Chair"
W. Jack Lackey,Professor Emeritus
Ann Lamb,Administrative Supervisor
Veronica Leak,IT Support Prof I
Michael J. Leamy,"Woodruff Professor, Director of Graduate Studies, and Professor"
Yongwon Lee,Research Engineer II
Seung Woo Lee,Associate Professor
Kok-Meng Lee,Professor
Maegan Lenertz,Research Engineer I
Steven Y. Liang,"Morris M. Bryan, Jr. Professor"
Timothy C. Lieuwen,Professor
Liyong Lin,Adjunct Associate Professor
Julie Linsey,Professor
Peter Loutzenhiser,Associate Professor
Joyce Lowe,Administrative Professional III
David MacNair,Director of Laboratory Development
Kenya Manchester,Financial Administrator I
Nathan Mauldin,Machine Shop Supervisor I
J. Rhett Mayor,Associate Professor
Anirban Mazumdar,Assistant Professor
Ellen Yi Chen Mazumdar,Assistant Professor
David L. McDowell,Regents' Professor Emeritus
Matthew McDowell,"Carter N. Paden, Jr. Distinguished Chair, Associate Professor"
Leon McGinnis,Professor Emeritus
Robert McGrath,Adjunct Professor
Julien Meaud,Associate Professor
Kristi Mehaffey,Senior Academic Professional
Shreyes N. Melkote,"Morris M. Bryan, Jr. Professor"
Akanksha Menon,Assistant Professor
Karthik Menon,Assistant Professor
Johnieda Merritt,HR Coordinator
Farrokh Mistree,Professor Emeritus
Esam Eldin Ahmed Mohamed,Lecturer
Roxanne Moore,Principal Research Engineer
Luis Barrales Mora,Adjunct Associate Professor
Sharmistha Mukhopadhyay,Academic Professional
Laura Mullins,Grants Administrator
Frank Harless Murdock,Instrument Maker II
Regina Neequaye,Administrative Supervisor
G. Paul Neitzel,Professor Emeritus
Zhanna Nepiyushchikh,Research Scientist II
Richard W. Neu,Director of Mechanical Properties Facility
Jonathon A. Nye,Adjunct Assistant Professor
Karlos Odum,Facilities Assistant
Cary Ogletree,Facilities Project Manager
Joi Outlaw,Faculty Support Coordinator
Michael Pagan,Research Engineer / Scientist I
Etienne Patoor,Adjunct Professor
Kierra Payne,Faculty Support Coordinator
"G. P. ""Bud"" Peterson",President Emeritus
Bojan Petrovic,Professor
Olivier Pierron,Professor
Raghuram V. Pucha,Principal Lecturer
H. Jerry Qi,"Woodruff Professor, Professor"
Farzad Rahnema,Distinguished Professor
Devesh Ranjan,"Eugene C. Gwaltney, Jr. School Chair"
Seth Reed,Instrument Maker II
Clint Rinehart,Mechanical Engineer I
Ashley Ritchie,Communications Manager
Posedion Roberson,Administrative Professional Sr.
Rachael Robideaux,Academic Advisor II
Peter H. Rogers,Professor Emeritus
David W. Rosen,Professor Emeritus
Karim Sabra,Professor
Nader Sadegh,Associate Professor
Sourabh Saha,Assistant Professor
Richard F. Salant,Professor Emeritus
Emily Sanders,Assistant Professor
Louis Satyanarayan,Adjunct Professor
Gregory Sawicki,"Joseph Anderer Faculty Fellow, Associate Professor"
Echo Sayr,Grants Administrator Lead
Alfred Schneider,Professor Emeritus
Carolyn Seepersad,Woodruff Professor
Michael Shannon,Adjunct Assistant Professor
Jianjun (Jan) Shi,Professor
Ankur Singh,"Carl Ring Family Professor, Professor"
William E. Singhose,Professor
Suresh K. Sitaraman,"Regents' Professor and Morris M. Bryan, Jr. Professor"
Monifa Skelton,Academic Program Manager I
Sterling Skinner,Laboratory Manager II
Vanessa Smet,Assistant Professor
Angela Lynn Smith,Admin Professional Sr.
Marc K. Smith,Professor
David R. Smith,Lecturer
Tiffany Sneeze,Financial Mgr II
Khalid Sorensen,Adjunct Associate Professor
Stephen Sprigle,Professor
Katepalli R. Sreenivasan,Adjunct Professor
"Weston M. Stacey, Jr.",Professor Emeritus
Aaron Stebner,"Eugene C. Gwaltney Jr. Chair in Manufacturing, Associate Professor"
Angela Stoneham,Sr. Grants Administrator
Prasoon Suchandra,Research Engineer II
Todd Sulchek,"Professor, Regents’ Innovator"
Wenting Sun,Assistant Professor
Courtney Sykes,Senior Development Assistant
Yuguo Tao,Senior Research Engineer
Naresh N. Thadhani,Professor
Susan Napier Thomas,"Professor, Woodruff Professor"
Nicole Thomas,Administrative Operations Coordinator
Lena H. Ting,Professor
Mike Tinskey,Professor of the Practice
Jacob Tompkins,Mechanical Engineer III
David Torello,Senior Academic Professional
Dylan Truong,Mechanical Technician II
Maegan Tucker,Assistant Professor
Jun Ueda,Professor
Ranjini Unnikrishnan,Application Developer Sr.
Christine Valle,Principal Academic Professional
Raymond P. Vito,Professor Emeritus
Bojan Vukasinovic,Senior Research Engineer
James J. (Joe) Wall,Adjunct Assistant Professor
Huichen Wang,Adjunct Assistant Professor
Amy Wang,"Electrical Engineer III, Electronics Lab"
Yan Wang,Professor
C.-K. Chris Wang,Professor
William J. Wepfer,Professor Emeritus
DeMarlo West,Operations & Program Manager
Jessica Whitaker,Financial Administrator II
Daryll Whitehead,Financial Manager I
Darryl Williams,Building Coordinator II
Ward O. Winer,Regents' Professor Emeritus
Segried Winfrey,Administrative Supervisor
Tameka Womack,Operations and Program Manager
Levi Wood,Associate Professor
Shuman Xia,Associate Professor
Hanjiang Xu,Senior Research Engineer
Bo Yang,Senior Research Scientist
Xiaofeng Yang,Adjunct Assistant Professor
Yusuf Yaras,Research Engineer II
Arash Yavari,Professor
Shannon Yee,Associate Professor
W. Hong Yeo,"Harris Saunders, Jr. Professor, Associate Professor"
P. K. Yeung,Professor
Chiyul Yoon,Research Engineer II
Aaron Young,Associate Professor
Zhuomin Zhang,"J. Erskine Love, Jr. Professor"
Dingkang Zhang,Senior Research Engineer
Chuck Zhang,Harold E. Smalley Professor
Fan Zhang,Assistant Professor
Ye Zhao,Assistant Professor
Min Zhou,"Carter N. Paden, Jr. Distinguished Chair, George W. Woodruff Professorship, Professor"
Ji-Xun Zhou,Principal Research Scientist Emeritus
Cheng Zhu,Professor
Ting Zhu,"Carter N. Paden, Jr. Distinguished Chair, Professor"
Ben T. Zinn,Professor Emeritus
